document,word,frequency
0,sir,4
0,lancelot,4
0,land,3
0,time,2
0,rescu,2
0,sorcer,2
0,upon,1
0,faraway,1
0,brave,1
0,knight,1
0,name,1
0,known,1
0,strength,1
0,courag,1
0,chivalri,1
0,one,1
0,day,1
0,king,1
0,ask,1
0,daughter,1
0,kidnap,1
0,evil,1
0,set,1
0,quest,1
0,face,1
0,mani,1
0,danger,1
0,along,1
0,way,1
0,never,1
0,gave,1
0,eventu,1
0,princess,1
0,defeat,1
0,peopl,1
0,cheer,1
0,becam,1
0,legend,1
1,jack,7
1,cow,4
1,giant,4
1,beanstalk,3
1,live,2
1,met,2
1,magic,2
1,bean,2
1,mother,2
1,goos,2
1,golden,2
1,egg,2
1,villag,1
1,foot,1
1,mountain,1
1,poor,1
1,farmer,1
1,name,1
1,small,1
1,farm,1
1,possess,1
1,one,1
1,day,1
1,stop,1
1,give,1
1,milk,1
1,didnt,1
1,know,1
1,decid,1
1,sell,1
1,market,1
1,way,1
1,stranger,1
1,offer,1
1,trade,1
1,five,1
1,agre,1
1,got,1
1,home,1
1,furiou,1
1,night,1
1,grew,1
1,climb,1
1,find,1
1,castl,1
1,cloud,1
1,laid,1
1,stole,1
1,ran,1
1,follow,1
1,chop,1
1,fell,1
1,death,1
1,happili,1
1,ever,1
2,snow,6
2,white,6
2,queen,4
2,live,2
2,beauti,2
2,huntsman,2
2,kingdom,1
2,rule,1
2,wick,1
2,princess,1
2,name,1
2,jealou,1
2,order,1
2,kill,1
2,couldnt,1
2,left,1
2,forest,1
2,met,1
2,seven,1
2,dwarf,1
2,took,1
2,care,1
2,found,1
2,still,1
2,aliv,1
2,disguis,1
2,old,1
2,woman,1
2,give,1
2,poison,1
2,appl,1
2,fell,1
2,deep,1
2,sleep,1
2,princ,1
2,came,1
2,woke,1
2,kiss,1
2,happili,1
2,ever,1
2,got,1
2,deserv,1
3,wizard,3
3,harri,3
3,world,2
3,hogwart,2
3,voldemort,2
3,mani,2
3,magic,1
3,wonder,1
3,young,1
3,name,1
3,potter,1
3,orphan,1
3,babi,1
3,rais,1
3,cruel,1
3,rel,1
3,one,1
3,day,1
3,receiv,1
3,letter,1
3,school,1
3,witchcraft,1
3,wizardri,1
3,invit,1
3,attend,1
3,learn,1
3,true,1
3,heritag,1
3,destini,1
3,defeat,1
3,dark,1
3,made,1
3,friend,1
3,includ,1
3,hermion,1
3,granger,1
3,ron,1
3,weasley,1
3,togeth,1
3,face,1
3,challeng,1
3,battl,1
3,end,1
3,abl,1
3,vanquish,1
3,bring,1
3,peac,1
4,knight,2
4,name,2
4,ogr,2
4,along,2
4,land,1
4,dragon,1
4,beauti,1
4,princess,1
4,fiona,1
4,curs,1
4,wick,1
4,sorcer,1
4,turn,1
4,one,1
4,day,1
4,brave,1
4,shrek,1
4,sent,1
4,rescu,1
4,tower,1
4,found,1
4,discov,1
4,didnt,1
4,get,1
4,first,1
4,eventu,1
4,fell,1
4,love,1
4,way,1
4,met,1
4,mani,1
4,fairi,1
4,tale,1
4,charact,1
4,includ,1
4,talk,1
4,donkey,1
4,gingerbread,1
4,man,1
4,togeth,1
4,defeat,1
4,evil,1
4,lord,1
4,farquaad,1
4,live,1
4,happili,1
4,ever,1
4,swamp,1
